Time,SM1_mean,SM1_min,SM1_max,SM1_std,SM3_mean,SM3_min,SM3_max,Lys_kg,Tair_mean,Tair_min,Tair_max,RH_mean,RH_min,Rs_mean,Rs_sum,Rain_mm,Rain_max,Wind_mean,Wind_max,Pressure,FRT1_tension,FRT2_tension,FRT3_tension,EC1_mean,Tsoil1_mean,Discharge_ml,Tank_kg,ET0_mm,Tair_amplitude,VPD_kPa,WB_mm,dLys_kg,rain_event,doy_sin,doy_cos,month_sin,month_cos,doy_norm,season,season_num,SM1_mean_lag1,SM1_mean_lag2,SM1_mean_lag3,SM1_mean_lag5,SM1_mean_lag7,SM1_mean_lag14,FRT1_tension_lag1,FRT1_tension_lag2,FRT1_tension_lag3,FRT1_tension_lag5,FRT1_tension_lag7,FRT1_tension_lag14,ET0_mm_lag1,ET0_mm_lag2,ET0_mm_lag3,ET0_mm_lag5,ET0_mm_lag7,ET0_mm_lag14,Rain_mm_lag1,Rain_mm_lag2,Rain_mm_lag3,Rain_mm_lag5,Rain_mm_lag7,Rain_mm_lag14,Tair_mean_lag1,Tair_mean_lag2,Tair_mean_lag3,Tair_mean_lag5,Tair_mean_lag7,Tair_mean_lag14,VPD_kPa_lag1,VPD_kPa_lag2,VPD_kPa_lag3,VPD_kPa_lag5,VPD_kPa_lag7,VPD_kPa_lag14,WB_mm_lag1,WB_mm_lag2,WB_mm_lag3,WB_mm_lag5,WB_mm_lag7,WB_mm_lag14,SM1_mean_roll3,SM1_mean_roll7,SM1_mean_roll14,SM1_mean_roll30,ET0_mm_roll3,ET0_mm_roll7,ET0_mm_roll14,ET0_mm_roll30,Rain_mm_roll3,Rain_mm_roll7,Rain_mm_roll14,Rain_mm_roll30,Tair_mean_roll3,Tair_mean_roll7,Tair_mean_roll14,Tair_mean_roll30,VPD_kPa_roll3,VPD_kPa_roll7,VPD_kPa_roll14,VPD_kPa_roll30,Rain_cum3,Rain_cum7,Rain_cum14,Rain_cum30,ET0_cum7,ET0_cum14,dry_days
2023-05-28,9.6,9.54,9.75,0.09539392014169458,40.221978021978025,40.1,40.3,863.6680833333334,21.5625,15.1,27.1,39.80416666666667,25.0,261.4067395833333,25095.047,0.0,0.0,2.0494416666666666,7.02,936.3854166666666,642.0625,55.52708333333334,57.725,0.003007912087912088,27.5978021978022,0.0,7351.625,6.2428044190106196,12.000000000000002,1.5495870227988688,-6.2428044190106196,-0.0533437500000673,0,0.5595892624101765,-0.8287700871745038,0.49999999999999994,-0.8660254037844387,0.4054794520547945,Printemps,1,9.636923076923075,9.63586956521739,9.632022471910112,9.563076923076924,9.382187499999999,8.512444444444444,600.40625,565.5729166666666,530.7604166666666,459.3020833333333,458.84375,2386.9222222222224,7.956869748901598,8.225183062006096,8.018767211303953,7.740446095571767,6.642283359566922,5.593038532701588,0.0,0.0,0.0,0.0,0.0,2.8,24.303124999999998,24.494791666666668,22.8625,19.388541666666665,20.714583333333334,25.142222222222223,2.267711936681376,2.6187436773411865,1.9929441714278724,1.551962431485937,1.9478466732210864,2.9389761427446253,-7.956869748901598,-8.225183062006096,-8.018767211303953,-7.740446095571767,-6.642283359566922,-2.793038532701588,9.624264214046823,9.598314933875358,9.229108359794822,,7.474952409972771,7.792226146843103,7.006251464424515,,0.0,0.0,0.05714285714285715,,23.45347222222222,21.890669642857144,20.757951388888888,,2.145347545607144,1.9383677756705973,1.795460578787443,,0.0,0.0,0.8,3.5999999999999996,54.54558302790172,98.0875205019432,14
2023-05-29,9.644148936170213,9.54,9.94,0.12004846310336419,40.2436170212766,40.1,40.3,863.7045833333334,19.078125,12.4,27.3,48.15416666666667,21.6,250.33872916666667,24032.518,1.4,0.6,2.1470458333333333,8.55,936.8541666666666,593.0833333333334,59.32604166666667,60.659375000000004,0.0030837234042553193,26.156382978723403,0.0,7331.40625,5.995587232518838,14.9,1.1448214383270163,-4.595587232518838,0.036500000000046384,1,0.545240438540651,-0.8382797052177744,0.49999999999999994,-0.8660254037844387,0.40821917808219177,Printemps,1,9.6,9.636923076923075,9.63586956521739,9.6175,9.5028125,8.494000000000002,642.0625,600.40625,565.5729166666666,482.1145833333333,438.65625,1646.0902777777776,6.2428044190106196,7.956869748901598,8.225183062006096,8.052411015420335,8.30910147568735,8.177727246595385,0.0,0.0,0.0,0.0,0.0,0.0,21.5625,24.303124999999998,24.494791666666668,21.279166666666665,19.3440625,21.91736111111111,1.5495870227988688,2.267711936681376,2.6187436773411865,1.8165730489111598,1.7710521410477817,2.2689816909323364,-6.2428044190106196,-7.956869748901598,-8.225183062006096,-8.052411015420335,-8.30910147568735,-8.177727246595385,9.62702400436443,9.618505853328244,9.311261855235552,,6.731753800143686,7.461724112104744,6.850384320561902,,0.4666666666666666,0.19999999999999998,0.15714285714285717,,21.647916666666664,21.852678571428573,20.55514880952381,,1.6540401326024206,1.8489062467104882,1.7151634178870627,,1.4,1.4,2.2,5.0,52.23206878473321,95.90538048786664,0
2023-05-30,9.726373626373626,9.54,9.94,0.182108127120592,39.93846153846154,39.8,40.2,864.0095416666667,20.338541666666668,11.9,27.3,45.63958333333333,17.6,315.7155625,30308.694,0.0,0.0,1.1742260416666668,3.89,938.7708333333334,542.1145833333334,61.18854166666667,62.54270833333334,0.0032995604395604397,25.41978021978022,0.0,7326.166666666667,7.539987556332732,15.4,1.2979828140311518,-7.539987556332732,0.3049583333332748,0,0.5307300481619334,-0.8475409228928311,0.49999999999999994,-0.8660254037844387,0.410958904109589,Printemps,1,9.644148936170213,9.6,9.636923076923075,9.632022471910112,9.563076923076924,8.568125,593.0833333333334,642.0625,600.40625,530.7604166666666,459.3020833333333,1041.8958333333333,5.995587232518838,6.2428044190106196,7.956869748901598,8.018767211303953,7.740446095571767,5.854050670299576,1.4,0.0,0.0,0.0,0.0,0.0,19.078125,21.5625,24.303124999999998,22.8625,19.388541666666665,23.75,1.1448214383270163,1.5495870227988688,2.267711936681376,1.9929441714278724,1.551962431485937,2.5796015645170467,-4.595587232518838,-6.2428044190106196,-7.956869748901598,-8.018767211303953,-7.740446095571767,-5.854050670299576,9.65684085418128,9.641833953799203,9.393993899976524,,6.592793069287397,7.433087177927739,6.9708083838499855,,0.4666666666666666,0.19999999999999998,0.15714285714285717,,20.32638888888889,21.988392857142856,20.311473214285716,,1.3307970917190124,1.8126234442169473,1.6236192214237846,,1.4,1.4,2.2,5.0,52.03161024549417,97.5913173738998,1
2023-05-31,9.863888888888889,9.75,10.1,0.13017442442366436,39.845555555555556,39.8,39.9,863.5653645833333,21.429166666666664,13.3,28.3,37.15416666666667,20.1,279.14978125,26798.379,0.0,0.0,1.8786333333333334,6.81,939.3958333333334,536.9375,61.425000000000004,62.14479166666666,0.003574333333333333,26.28666666666667,0.0,7334.239583333333,6.688045813588309,15.0,1.604659180291078,-6.688045813588309,-0.4441770833333294,0,0.5160623910158528,-0.8565509959010036,0.49999999999999994,-0.8660254037844387,0.4136986301369863,Printemps,1,9.726373626373626,9.644148936170213,9.6,9.63586956521739,9.6175,8.655208333333333,542.1145833333334,593.0833333333334,642.0625,565.5729166666666,482.1145833333333,826.3229166666666,7.539987556332732,5.995587232518838,6.2428044190106196,8.225183062006096,8.052411015420335,5.583687975056094,0.0,1.4,0.0,0.0,0.0,0.0,20.338541666666668,19.078125,21.5625,24.494791666666668,21.279166666666665,21.405208333333334,1.2979828140311518,1.1448214383270163,1.5495870227988688,2.6187436773411865,1.8165730489111598,1.780140510675924,-7.539987556332732,-4.595587232518838,-6.2428044190106196,-8.225183062006096,-8.052411015420335,-5.583687975056094,9.744803817144243,9.677032366497615,9.48032822537335,,6.74120686747996,7.238177863380306,7.049691086602286,,0.4666666666666666,0.19999999999999998,0.15714285714285717,,20.281944444444445,22.009821428571428,20.313184523809525,,1.3491544775497486,1.7823500344140784,1.6110848406820097,,1.4,1.4,2.2,5.0,50.66724504366214,98.69567521243201,2
2023-06-01,9.93,9.75,10.1,0.1438632309295311,39.90555555555556,39.8,40.0,863.4572083333334,23.715625,16.3,30.2,35.20760416666666,9.28,252.01969791666667,24193.891,0.0,0.0,1.8650072916666665,7.05,935.375,525.6354166666666,63.465624999999996,63.75104166666667,0.0037938888888888887,26.773333333333333,0.0,7347.489583333333,6.011309805867936,13.899999999999999,1.9005963498983947,-6.011309805867936,-0.10815624999997908,0,0.5012418134457758,-0.865307254363206,1.2246467991473532e-16,-1.0,0.41643835616438357,Ete,2,9.863888888888889,9.726373626373626,9.644148936170213,9.636923076923075,9.632022471910112,8.712604166666667,536.9375,542.1145833333334,593.0833333333334,600.40625,530.7604166666666,719.3958333333334,6.688045813588309,7.539987556332732,5.995587232518838,7.956869748901598,8.018767211303953,3.4126620544936435,0.0,0.0,1.4,0.0,0.0,0.8,21.429166666666664,20.338541666666668,19.078125,24.303124999999998,22.8625,14.525,1.604659180291078,1.2979828140311518,1.1448214383270163,2.267711936681376,1.9929441714278724,0.7090705718079992,-6.688045813588309,-7.539987556332732,-4.595587232518838,-7.956869748901598,-8.018767211303953,-2.6126620544936436,9.840087505087505,9.71960058479617,9.567285070611446,,6.746447725262993,6.951398234032305,7.235308783129022,,0.0,0.19999999999999998,0.09999999999999999,,21.82777777777778,22.131696428571427,20.969657738095236,,1.6010794480735413,1.769157488481296,1.696193824831324,,0.0,1.4,1.4,5.0,48.659787638226135,101.29432296380631,3
2023-06-02,10.011489361702127,9.94,10.1,0.07997254161580501,40.05531914893617,40.0,40.1,863.3505,23.338541666666668,15.5,30.1,33.23229166666667,16.7,341.5737395833333,32791.079,0.0,0.0,2.0396802083333334,6.38,932.8854166666666,530.125,65.18124999999999,65.32187499999999,0.003989574468085106,27.22446808510638,0.0,7350.0,8.090321547008847,14.600000000000001,1.9145517347126721,-8.090321547008847,-0.1067083333333585,0,0.48627270710869,-0.8738071036110808,1.2246467991473532e-16,-1.0,0.4191780821917808,Ete,2,9.93,9.863888888888889,9.726373626373626,9.6,9.63586956521739,8.9628125,525.6354166666666,536.9375,542.1145833333334,642.0625,565.5729166666666,571.1666666666666,6.011309805867936,6.688045813588309,7.539987556332732,6.2428044190106196,8.225183062006096,6.2736662578828835,0.0,0.0,0.0,0.0,0.0,0.0,23.715625,21.429166666666664,20.338541666666668,21.5625,24.494791666666668,16.326666666666664,1.9005963498983947,1.604659180291078,1.2979828140311518,1.5495870227988688,2.6187436773411865,0.8681612856705139,-6.011309805867936,-6.688045813588309,-7.539987556332732,-6.2428044190106196,-8.225183062006096,-6.2736662578828835,9.935126083530339,9.773260555722562,9.642190560733026,,6.929892388821696,6.9321323033184115,7.365069875209448,,0.0,0.19999999999999998,0.09999999999999999,,22.827777777777772,21.966517857142858,21.470505952380954,,1.8066024216340482,1.6685586395343655,1.7709359997629066,,0.0,1.4,1.4,5.0,48.52492612322888,103.11097825293227,4
2023-06-03,10.014166666666666,9.94,10.3,0.08915588555908475,40.20520833333334,40.1,40.3,863.2591354166666,24.53333333333333,16.9,30.6,33.791666666666664,20.1,314.7200833333333,30213.128,0.0,0.0,1.7831989583333332,7.13,933.0729166666666,571.2395833333334,66.60104166666666,66.10625,0.004111770833333334,28.41875,0.0,7355.145833333333,7.530968641661485,13.700000000000003,2.0397347266976076,-7.530968641661485,-0.0913645833334158,0,0.4711595076738638,-0.8820480249558537,1.2246467991473532e-16,-1.0,0.42191780821917807,Ete,2,10.011489361702127,9.93,9.863888888888889,9.644148936170213,9.636923076923075,9.244375,530.125,525.6354166666666,536.9375,593.0833333333334,600.40625,501.6145833333333,8.090321547008847,6.011309805867936,6.688045813588309,5.995587232518838,7.956869748901598,7.597859910146971,0.0,0.0,0.0,1.4,0.0,0.0,23.338541666666668,23.715625,21.429166666666664,19.078125,24.303124999999998,18.7378125,1.9145517347126721,1.9005963498983947,1.604659180291078,1.1448214383270163,2.267711936681376,1.414071376505111,-8.090321547008847,-6.011309805867936,-6.688045813588309,-4.595587232518838,-7.956869748901598,-7.597859910146971,9.985218676122932,9.827152497114502,9.697175679780644,9.376668045779688,7.2108666648460895,6.871289287998395,7.360291927460485,6.930322839601091,0.0,0.19999999999999998,0.09999999999999999,0.23809523809523808,23.8625,21.999404761904763,21.884471726190476,21.342232142857142,1.9516276037695581,1.6359904666795413,1.8156262390623705,1.8084652614155592,0.0,1.4,1.4,5.0,48.099025015988765,103.04408698444679,5
2023-06-04,9.989090909090908,9.94,10.1,0.07421057897192351,40.47272727272727,40.3,40.5,863.3521041666667,22.934375,17.2,30.8,47.541666666666664,21.1,241.71716666666666,23204.847999999998,1.2,1.0,1.5306125,8.17,935.8333333333334,609.3020833333334,69.49895833333333,67.7375,0.003977159090909091,28.273863636363636,0.0,7346.84375,5.79061510981894,13.600000000000001,1.467944425082579,-4.590615109818939,0.09296875000006821,1,0.4559066935084588,-0.8900275764346767,1.2246467991473532e-16,-1.0,0.4246575342465753,Ete,2,10.014166666666666,10.011489361702127,9.93,9.726373626373626,9.6,9.382187499999999,571.2395833333334,530.125,525.6354166666666,542.1145833333334,642.0625,458.84375,7.530968641661485,8.090321547008847,6.011309805867936,7.539987556332732,6.2428044190106196,6.642283359566922,0.0,0.0,0.0,0.0,0.0,0.0,24.53333333333333,23.338541666666668,23.715625,20.338541666666668,21.5625,20.714583333333334,2.0397347266976076,1.9145517347126721,1.9005963498983947,1.2979828140311518,1.5495870227988688,1.9478466732210864,-7.530968641661485,-8.090321547008847,-6.011309805867936,-7.539987556332732,-6.2428044190106196,-6.642283359566922,10.0049156458199,9.882736912698919,9.740525923287137,9.404505448657472,7.137301766163091,6.806690815256728,7.299458481049915,6.878517942792812,0.39999999999999997,0.3714285714285714,0.1857142857142857,0.2818181818181818,23.60208333333333,22.195386904761904,22.043028273809522,21.414602272727272,1.8074102954976194,1.6243272384343572,1.7813475070524771,1.792987041582242,1.2,2.5999999999999996,2.5999999999999996,6.199999999999999,47.64683570679709,102.1924187346988,0
2023-06-05,10.059540229885057,9.94,10.3,0.13523371712135196,40.39310344827586,40.2,40.5,863.4045729166667,24.41875,15.8,31.3,47.68333333333334,22.1,270.05253125,25925.043,0.0,0.0,0.9303302083333334,4.51,937.1041666666666,573.9166666666666,71.96145833333334,69.84270833333333,0.0040555172413793104,27.175862068965518,0.0,7339.947916666667,6.4618764880686115,15.5,1.600755778232469,-6.4618764880686115,0.05246875000000273,0,0.440518784350495,-0.8977433935342337,1.2246467991473532e-16,-1.0,0.4273972602739726,Ete,2,9.989090909090908,10.014166666666666,10.011489361702127,9.863888888888889,9.644148936170213,9.5028125,609.3020833333334,571.2395833333334,530.125,536.9375,593.0833333333334,438.65625,5.79061510981894,7.530968641661485,8.090321547008847,6.688045813588309,5.995587232518838,8.30910147568735,1.2,0.0,0.0,0.0,1.4,0.0,22.934375,24.53333333333333,23.338541666666668,21.429166666666664,19.078125,19.3440625,1.467944425082579,2.0397347266976076,1.9145517347126721,1.604659180291078,1.1448214383270163,1.7710521410477817,-4.590615109818939,-7.530968641661485,-8.090321547008847,-6.688045813588309,-4.595587232518838,-8.30910147568735,10.020932601880878,9.942078526086755,9.780292189707499,9.432985221754322,6.5944867465163455,6.873303566049551,7.167513839077147,6.860403096935238,0.39999999999999997,0.17142857142857143,0.1857142857142857,0.2695652173913043,23.962152777777774,22.958333333333332,22.405505952380953,21.545217391304345,1.702811643337552,1.6894607155637071,1.769183481137098,1.7846291605670344,1.2,1.2,2.5999999999999996,6.199999999999999,48.11312496234686,100.34519374708006,1
2023-06-06,10.14468085106383,10.1,10.3,0.08375209357241507,40.48085106382978,40.3,40.6,863.1263125,27.366666666666664,22.5,32.2,33.10104166666667,20.1,214.05156250000002,20548.95,0.0,0.0,1.6371010416666667,5.33,937.1145833333334,591.0,71.62395833333333,70.05104166666666,0.004367340425531915,28.909574468085108,0.0,7358.916666666667,5.10169742532069,9.700000000000003,2.436966931335294,-5.10169742532069,-0.27826041666662604,0,0.42500033996955416,-0.9051931898913974,1.2246467991473532e-16,-1.0,0.4301369863013699,Ete,2,10.059540229885057,9.989090909090908,10.014166666666666,9.93,9.726373626373626,9.563076923076924,573.9166666666666,609.3020833333334,571.2395833333334,525.6354166666666,542.1145833333334,459.3020833333333,6.4618764880686115,5.79061510981894,7.530968641661485,6.011309805867936,7.539987556332732,7.740446095571767,0.0,1.2,0.0,0.0,0.0,0.0,24.41875,22.934375,24.53333333333333,23.715625,20.338541666666668,19.388541666666665,1.600755778232469,1.467944425082579,2.0397347266976076,1.9005963498983947,1.2979828140311518,1.551962431485937,-6.4618764880686115,-4.590615109818939,-7.530968641661485,-6.011309805867936,-7.539987556332732,-7.740446095571767,10.064437330013265,10.001836701042496,9.821835327420851,9.462639206308886,5.784729674402747,6.524976404476403,6.97903179120207,6.787123693951298,0.39999999999999997,0.17142857142857143,0.1857142857142857,0.2583333333333333,24.906597222222217,23.96235119047619,22.97537202380952,21.787777777777777,1.8352223782167811,1.852172732321442,1.8323980882691946,1.811809901015712,1.2,1.2,2.5999999999999996,6.199999999999999,45.67483483133482,97.70644507682898,2
