Time,SM_UMP01,SM_UMP03,Lys_weight,T_air,Humidity,Radiation,Rain,Wind,FRT01,FRT02,FRT03,Rain_roll
2023-05-14,8.512444444444444,38.855555555555554,855262.7777777778,25.142222222222223,8.005,439.68222222222226,2.8,1.3616644444444446,2386.9222222222224,52.128888888888895,141.38444444444445,
2023-05-15,8.494000000000002,39.39368421052632,858679.3784722221,21.91736111111111,13.748020833333333,345.887375,0.0,1.0770347222222223,1646.0902777777776,-12.331597222222221,33.773263888888884,
2023-05-16,8.568125,39.44895833333333,864570.0104166666,23.75,12.2415625,245.54104166666664,0.0,1.4313885416666665,1041.8958333333333,11.240625,42.690625000000004,2.8
2023-05-17,8.655208333333333,39.545833333333334,864527.71875,21.405208333333334,30.179166666666664,236.236,0.0,2.470625,826.3229166666666,22.321875000000002,44.76666666666667,0.0
2023-05-18,8.712604166666667,39.487500000000004,864698.3958333334,14.525,57.12708333333333,147.67560416666666,0.8,2.0070229166666667,719.3958333333334,30.105208333333334,47.37395833333333,0.8
2023-05-19,8.9628125,38.946875,864769.3125,16.326666666666664,53.23854166666666,267.27178125,0.0,0.9349489583333334,571.1666666666666,33.453125,49.479166666666664,0.8
2023-05-20,9.244375,38.733333333333334,864449.1458333334,18.7378125,34.58541666666667,319.2598541666667,0.0,2.2821333333333333,501.6145833333333,34.09791666666667,47.940625000000004,0.8
2023-05-21,9.382187499999999,38.803125,864320.6979166666,20.714583333333334,20.292291666666667,281.921375,0.0,1.9032041666666668,458.84375,36.11666666666667,48.153124999999996,0.0
2023-05-22,9.5028125,38.88333333333333,864218.0833333334,19.3440625,21.111458333333335,352.24990625000004,0.0,1.1666604166666665,438.65625,38.740625,49.57395833333334,0.0
2023-05-23,9.563076923076924,39.074725274725274,864134.40625,19.388541666666665,31.061458333333334,324.557625,0.0,1.43720625,459.3020833333333,40.536458333333336,49.4,0.0
2023-05-24,9.6175,39.21190476190476,864051.2604166666,21.279166666666665,28.197916666666668,338.21626041666667,0.0,0.8661354166666667,482.1145833333333,43.291666666666664,50.86145833333333,0.0
2023-05-25,9.632022471910112,39.46629213483146,863949.3645833334,22.8625,28.469791666666666,338.86648958333336,0.0,1.065309375,530.7604166666666,45.26979166666666,51.89270833333333,0.0
2023-05-26,9.63586956521739,39.7695652173913,863820.5208333334,24.494791666666668,14.801354166666668,348.1897916666667,0.0,2.2430697916666666,565.5729166666666,48.196875,53.260416666666664,0.0
2023-05-27,9.636923076923075,40.003296703296705,863721.4270833334,24.303124999999998,25.370833333333334,336.782,0.0,1.6824281250000002,600.40625,51.515625,55.52708333333334,0.0
2023-05-28,9.6,40.221978021978025,863668.0833333334,21.5625,39.80416666666667,261.4067395833333,0.0,2.0494416666666666,642.0625,55.52708333333334,57.725,0.0
2023-05-29,9.644148936170213,40.2436170212766,863704.5833333334,19.078125,48.15416666666667,250.33872916666667,1.4,2.1470458333333333,593.0833333333334,59.32604166666667,60.659375000000004,1.4
2023-05-30,9.726373626373626,39.93846153846154,864009.5416666666,20.338541666666668,45.63958333333333,315.7155625,0.0,1.1742260416666668,542.1145833333334,61.18854166666667,62.54270833333334,1.4
2023-05-31,9.863888888888889,39.845555555555556,863565.3645833334,21.429166666666664,37.15416666666667,279.14978125,0.0,1.8786333333333334,536.9375,61.425000000000004,62.14479166666666,1.4
2023-06-01,9.93,39.90555555555556,863457.2083333334,23.715625,35.20760416666666,252.01969791666667,0.0,1.8650072916666665,525.6354166666666,63.465624999999996,63.75104166666667,0.0
2023-06-02,10.011489361702127,40.05531914893617,863350.5,23.338541666666668,33.23229166666667,341.5737395833333,0.0,2.0396802083333334,530.125,65.18124999999999,65.32187499999999,0.0
2023-06-03,10.014166666666666,40.20520833333334,863259.1354166666,24.53333333333333,33.791666666666664,314.7200833333333,0.0,1.7831989583333332,571.2395833333334,66.60104166666666,66.10625,0.0
2023-06-04,9.989090909090908,40.47272727272727,863352.1041666666,22.934375,47.541666666666664,241.71716666666666,1.2,1.5306125,609.3020833333334,69.49895833333333,67.7375,1.2
2023-06-05,10.059540229885057,40.39310344827586,863404.5729166666,24.41875,47.68333333333334,270.05253125,0.0,0.9303302083333334,573.9166666666666,71.96145833333334,69.84270833333333,1.2
